BondCode,BondName,Issuer,Term,CreditRating,BondType,IssueDate,CouponRate,_priority,_merge_code
111015,01三峡10,中国长江电力股份有限公司,10.0,AAA,03,2002-04-19,4.0,110,111015
111016,01广核债,中国广核集团有限公司,7.0,AAA,03,2002-06-06,4.12,110,111016
111017,02电网3,国家电力公司,3.0,AAA,03,2002-12-10,3.5,110,111017
111018,02电网15,国家电力公司,15.0,AAA,03,2002-12-10,4.86,110,111018
111019,02广核债,中国广核集团有限公司,15.0,AAA,03,2003-08-18,4.5,110,111019
111020,03华能1,中国华能集团公司,10.0,AAA,03,2004-11-19,4.6,110,111020
111021,03华能2,中国华能集团公司,10.0,AAA,03,2004-11-19,3.78,110,111021
111022,04首旅债,北京首都旅游集团有限责任公司,10.0,AAA,03,2004-11-16,3.73,110,111022
111023,利柏转债,江苏利柏特股份有限公司,,AA,,,,999,111023
111024,04华电1,中国华电集团公司,10.0,AAA,03,2005-09-07,5.4,110,111024
111025,04华电2,中国华电集团公司,10.0,AAA,03,2005-09-07,4.28,110,111025
111026,05粤交通,广东省交通集团有限公司,15.0,AAA,03,2005-10-18,5.3,110,111026
111027,03石油债,中国石油天然气股份有限公司,10.0,AAA,03,2005-12-12,4.11,110,111027
111028,05神华债,神华集团有限责任公司,7.0,AAA,03,2006-05-18,5.25,110,111028
111029,06豫投债,河南投资集团有限公司,10.0,AAA,03,2006-12-25,4.3,110,111029
111030,05泰达债,天津泰达投资控股有限公司,10.0,AAA,03,2006-06-30,4.65,110,111030
111031,06鄂能债,湖北省能源集团有限公司,10.0,AAA,03,2006-08-29,4.05,110,111031
111032,06鲁能债,鲁能集团有限公司,15.0,AAA,03,2006-08-15,4.4,110,111032
111035,06节能债,中国节能环保集团公司,10.0,AAA,03,2007-02-12,4.05,110,111035
111037,08昆建债,昆明市城建投资开发有限责任公司,5.0,AA,03,2008-04-30,6.12,110,111037
111038,08西基投,西安城市基础设施建设投资集团有限公司,5.0,AA,03,2008-04-28,6.7,110,111038
111039,ST奈伦债,内蒙古奈伦集团股份有限公司,7.0,AA,03,2008-06-25,8.0,110,111039
111040,08甬交投,宁波交通投资控股有限公司,5.0,AA,03,2008-09-04,6.9,110,111040
111041,08铁岭债,铁岭公共资产投资运营有限公司,7.0,AA,03,2008-09-12,8.35,110,111041
111042,08嘉城投,嘉兴城市建设投资有限公司,7.0,AA+,03,2008-09-26,7.05,110,111042
111043,08湘有色,湖南有色金属控股集团有限公司,10.0,AA+,03,2008-11-03,5.8,110,111043
111044,08吉高速,吉林省高速公路集团有限公司,5.0,AA,03,2008-12-01,5.65,110,111044
111045,08西城投,西宁城市投资管理有限公司,7.0,AA,03,2009-01-21,6.38,110,111045
111046,08东特债,东北特殊钢集团有限责任公司,7.0,AA,03,2009-01-12,7.1,110,111046
111047,08长兴债,长兴交通投资集团有限公司,7.0,AA,03,2009-02-16,8.13,110,111047
111048,09渝水投,重庆市水利投资(集团)有限公司,7.0,AA,03,2009-03-09,5.92,110,111048
111049,09绍水务,绍兴市水务集团有限公司,7.0,AA+,03,2009-05-11,5.78,110,111049
111050,09华菱债,湖南华菱钢铁集团有限责任公司,10.0,AA+,03,2009-03-09,5.2,110,111050
111051,09怀化债,怀化市城市建设投资有限公司,10.0,AA,03,2009-03-25,8.1,110,111051
111052,09哈城投,哈尔滨市城市建设投资集团有限公司,10.0,AA,03,2009-04-20,7.08,110,111052
111053,09许继债,许继集团有限公司,6.0,AA,03,2009-05-04,4.6,110,111053
111055,09华西债,江苏华西集团公司,7.0,AA,03,2009-06-23,6.05,110,111055
111056,09湖交投,湖州市交通投资集团有限公司,7.0,AA+,03,2009-07-15,5.48,110,111056
111057,09兖城投,济宁市兖州区惠民城建投资有限公司,7.0,AA,03,2009-11-20,6.8,110,111057
111058,09黄城投,黄石市城市建设投资开发有限责任公司,8.0,AA+,03,2010-04-22,6.98,110,111058
111059,09宿建投,宿州市城市建设投资集团(控股)有限公司,7.0,AA+,03,2010-03-11,7.48,110,111059
111060,10佳城投,佳木斯市新时代城市基础设施建设投资(集团)有限公司,7.0,AA+,03,2010-05-10,7.88,110,111060
111062,10并高铁,太原市高速铁路投资有限公司,10.0,AA+,03,2010-11-10,5.18,110,111062
111063,11富阳债,富阳市城市建设投资集团有限公司,7.0,AA,03,2011-04-18,7.33,110,111063
111064,ST长交债,长兴交通投资集团有限公司,7.0,AA,03,2011-05-26,7.2,110,111064
