bucket,prob_pred_mean,prob_true_mean,bias,n_samples,n_positive,actual_rate,calibrated
1,0.17829212546348572,0.0,0.17829212546348572,1348,0,0.0,raw
2,0.17931942112494417,0.0,0.17931942112494417,2035,0,0.0,raw
3,0.17958352786879386,0.0,0.17958352786879386,709,0,0.0,raw
4,0.1804729424862603,0.0,0.1804729424862603,748,0,0.0,raw
5,0.18287123446684003,0.0,0.18287123446684003,842,0,0.0,raw
6,0.1860737887107063,0.0,0.1860737887107063,806,0,0.0,raw
7,0.19100854331153935,0.001694915254237288,0.18931362805730206,695,1,0.0014388489208633094,raw
8,0.20274100179326604,0.0014792899408284023,0.20126171185243763,683,1,0.0014641288433382138,raw
9,0.3104767977230011,0.005865102639296188,0.3046116950837049,682,4,0.005865102639296188,raw
10,0.6147985287327019,0.19619326500732065,0.41860526372538126,683,134,0.19619326500732065,raw
1,0.00494864908978343,0.0,0.00494864908978343,1348,0,0.0,calibrated
2,0.004986779072919788,0.0,0.004986779072919788,2035,0,0.0,calibrated
3,0.004996629401801094,0.0,0.004996629401801094,709,0,0.0,calibrated
4,0.005029969335104933,0.0,0.005029969335104933,748,0,0.0,calibrated
5,0.005121001726304761,0.0,0.005121001726304761,842,0,0.0,calibrated
6,0.005245061824436155,0.0,0.005245061824436155,806,0,0.0,calibrated
7,0.0054422866000588665,0.001694915254237288,0.003747371345821578,695,1,0.0014388489208633094,calibrated
8,0.005946410651120341,0.0014792899408284023,0.004467120710291939,683,1,0.0014641288433382138,calibrated
9,0.014487579378198362,0.005865102639296188,0.008622476738902174,682,4,0.005865102639296188,calibrated
10,0.14900666424570985,0.19619326500732065,-0.0471866007616108,683,134,0.19619326500732065,calibrated
